,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
199_sim,-8.248623238048538,-5.8533489846983375,5.883294402316956e-06,0.4093699043579958,0.4363276467766645,2.9888776406633705e-06
200_sim,-8.413555987337348,-5.088996215871833,3.937878782176304e-06,0.3906559066597925,0.34841735424567805,2.3672248817738335e-06
201_sim,-7.804848957713873,-4.8308310575960025,-3.885386527561935e-06,0.515801999225974,0.6402852856754724,3.962228502151686e-06
202_sim,-7.492074561698675,-6.555154459120177,1.0069907347798675e-05,0.42930734714204555,0.8248810101766874,4.4565682315546815e-06
203_sim,-8.382294670879501,-5.118349276481844,-2.1902267076722467e-06,0.3388300193393624,0.6776608490123927,4.676080098032941e-06
204_sim,-9.013561983827485,-4.883547598256093,-8.701155257220554e-07,0.3475502856630329,0.2489819821934474,1.8752870254108945e-06
205_sim,-8.480489950590169,-4.548543130103588,-3.0958605409104315e-06,0.4437339355723851,0.36866455066801135,2.579232547835702e-06
206_sim,-8.884720850000836,-5.027561371084316,3.023826814793279e-06,0.3589396551620464,0.23288620948128605,1.7121574836848682e-06
207_sim,-10.305843910454032,-4.635412863269868,4.6800526995836115e-07,0.3162961455445951,0.06062411649077588,4.5825056786822974e-07
208_sim,-7.753660051045574,-4.5437310317645725,-3.911229896461514e-06,0.47278776774789905,0.6148539594397442,3.7533364050328576e-06
209_sim,-8.648652474363903,-5.690513717291391,4.106336826362078e-06,0.3813589751953626,0.3382241447200025,2.3972264147926153e-06
210_sim,-6.890808232679274,-8.952651310492445,1.8500174404735027e-05,2.3319774567502263,2.3316709932179247,0.00027589090704842594
211_sim,-9.988385347389094,-5.527851146865734,2.114752167919569e-06,0.47000426950519286,0.14248367215779784,1.0866024352542881e-06
212_sim,-10.45028396362411,-4.7308563121155895,2.2203240533818145e-07,0.3364706852421871,0.05707190397886338,4.548902139369174e-07
213_sim,-7.467932872001104,-5.105902804916345,-6.17546048273067e-06,0.5398088730272961,0.8729385559454551,5.017716206717594e-06
214_sim,-7.405768941082145,-6.8374513158523245,1.0469316656985129e-05,0.5123225969669756,1.2821222216533916,6.232311022794945e-06
215_sim,-7.93603672014524,-5.436754434840876,7.044636640253964e-06,0.37001969655001626,0.4829220622690773,2.9108264432855954e-06
216_sim,-9.639082004100397,-5.174867952687195,1.7494511630273538e-06,0.4375775580103584,0.1598607948405221,1.210085011398006e-06
