,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
400_sim,0.1112295703649825,-9.782861340466292,-4.549330677118017,5.955167007319453e-07,0.00027721896954783283,0.13272490663254108,0.04074264852955351,3.358467525795087e-07
401_sim,0.08782263890841392,-9.915685875088833,-5.323058483826149,3.152421446774825e-07,0.00022995516505658562,0.09172647852968487,0.03718559186432838,2.7594312449504335e-07
402_sim,0.09040385135939559,-9.512657912155754,-5.616254206512986,1.269652973310185e-06,0.0005352558164998495,0.19123657421490448,0.09097256790311468,6.611513840110935e-07
403_sim,0.08105515736736008,-10.024362909072554,-5.512062374247391,7.172302458272766e-07,0.00024666527264519036,0.15255717066475538,0.04716722537234405,3.258961187976275e-07
404_sim,0.09468901432356855,-9.54290600124328,-5.395067386967496,1.2901316257768685e-06,0.00038101221422844896,0.13568790522134166,0.06092956820218277,4.626984837746819e-07
405_sim,0.07514198226256534,-10.04857712405206,-5.320015069667787,5.362649583040457e-07,0.00020108539680721704,0.18049678016986062,0.04217567210623147,2.829421823494664e-07
406_sim,0.0976064670320648,-9.869248249804256,-5.601576162211591,4.904101712659435e-07,0.00037626821914431134,0.14151070456808482,0.062239109652770665,4.866128091592818e-07
407_sim,0.08187064689863051,-9.604787071454838,-4.420453848176875,3.9482695515444e-07,0.00035905388990087355,0.16028012351362175,0.05267365313756898,3.604055684485884e-07
408_sim,0.12476486563177737,-9.771631877250643,-4.083103432587402,1.9957730008550214e-08,0.00037184130033325477,0.11835346504573287,0.04275887733840582,3.8261314064209964e-07
409_sim,0.11492339946035408,-10.12727105627482,-5.295880758803391,7.866946233738706e-07,0.0001989637173406958,0.08437168224144566,0.03118457565697756,2.7016371096035636e-07
410_sim,0.11303925260362079,-9.702312807407068,-4.971631444532161,5.026437282346437e-07,0.0002830822738105099,0.10775660402218844,0.04178728977711145,3.5176308260837753e-07
411_sim,0.11433610944122141,-9.936889510879661,-4.872913725839553,5.352166445938264e-07,0.00023550916345111702,0.09384036873598799,0.03379020981834538,2.9031928903476814e-07
412_sim,0.10896874422114045,-9.764155493424854,-5.011854381992303,1.2921425883729918e-07,0.00042514584308370407,0.1726682677857134,0.06484794040119432,5.285657674662345e-07
413_sim,0.15248094756041605,-7.7507499580290595,-4.411017865643722,6.242883114366744e-06,0.018854886201807926,0.9950652567314204,1.4489569098698687,1.361677904868119e-05
414_sim,0.09914503290404013,-9.436020055500903,-4.562657223170206,6.692763998928436e-07,0.0008821323561056297,0.2689991197041809,0.11400468566738699,8.754167704795953e-07
415_sim,0.12287324110499653,-9.006086589739612,-4.411642994753023,1.8850038478114108e-06,0.0015701785310652757,0.30011615963572685,0.16822507015169197,1.4447011645699082e-06
416_sim,0.11773889263657569,-9.644054824354148,-4.399937803242614,8.264958726282646e-07,0.0005860847570210498,0.19188749310772862,0.07369173507123998,6.287362745064883e-07
417_sim,0.09013077836277979,-10.077227477962285,-5.733477542493457,4.444637031647645e-07,0.0002322316832962566,0.1388982464551162,0.044556235232112586,3.2818946777045667e-07
418_sim,0.12377475936638524,-9.56673535084081,-4.762481198659469,1.0894468660430315e-06,0.0005798382428924859,0.16873923076778244,0.07608216041063032,6.729539997601436e-07
419_sim,0.09015314640110354,-9.8905247708079,-5.569647184592478,1.0349540772693713e-07,0.0003260141569131796,0.16232546480097965,0.05906302510457682,4.3352264336228127e-07
420_sim,0.08211957038230855,-9.294584711784127,-6.235567142441247,-1.3309293629216394e-07,0.0005575001510209779,0.1810613751582308,0.10559746699611727,7.157562326358459e-07
421_sim,0.092617770781854,-9.859050976781766,-4.736638164311112,-4.5255159405627186e-07,0.0005371388754535502,0.3311204461404691,0.08979397174042293,6.676765998489159e-07
422_sim,0.0800068269938181,-10.124544469675737,-5.5844954529815105,-1.2736451242841503e-07,0.00022912389331085833,0.12336039455178707,0.04215845692600765,2.9415267027680134e-07
423_sim,0.10808684457686625,-9.923205235277855,-4.813530072389075,3.2274131474120417e-07,0.0002471688580997119,0.10353982466079265,0.0359362454474904,2.945155886074464e-07
424_sim,0.12635985212042478,-9.640226511759856,-4.839045757153267,5.446730528569584e-07,0.0004146321518660798,0.12355407747592541,0.05598891167430504,4.992744325631687e-07
425_sim,0.1099507828763416,-9.76904928253309,-4.774912916958428,3.387699549125253e-07,0.00030198767731292036,0.13611682936513306,0.045662515961011306,3.7260656663564024e-07
426_sim,0.11278607435973854,-9.906909269991592,-4.709872626304533,7.833762739118097e-07,0.00024410608894564928,0.11873485292302494,0.03629456973095474,3.0646551633757456e-07
