,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
848_sim,0.100351714824337,-9.794486550562217,-5.5673833791965395,2.431128446012048e-07,0.012456129246349956,1.1534902573255,0.6536464203797803,3.4731502918313465e-07
849_sim,0.07718350972850906,-9.985867502464728,-6.149738429239419,6.890239184865775e-07,0.004519272632260365,2.299641151948992,1.4154007888629547,2.6988118468315085e-07
850_sim,0.08747333089698428,-9.75808689526798,-5.442658194270838,3.27198705943869e-07,0.005039259478737226,0.9369757469030069,0.5198682916722934,5.152251693721333e-07
851_sim,0.1015828906871806,-9.920726844642601,-4.5195886828083776,3.120013866515934e-07,0.008182618329386392,0.9972792742110428,0.44916000204235157,3.594588872767955e-07
852_sim,0.12183168736608277,-8.76509649860196,-4.207946853498363,2.6622281662035916e-07,0.0023612559663640674,1.277941504811041,0.6290616009311253,1.9083626320542853e-06
853_sim,0.07217365519534664,-9.765698644995153,-5.53657183472026,1.704123505385624e-07,0.014344266152525036,1.1743292728626291,0.6619924869165823,3.8918234353584884e-07
854_sim,0.10772275938124637,-9.874638703192335,-5.084045311836963,4.6391237996704844e-07,0.010613053717607537,0.21514042400404457,0.1068666087157094,2.7600433265476645e-07
855_sim,0.09297165771037876,-9.719026726458095,-5.513121789366686,5.873359756757919e-07,0.0017906947397274711,0.9947736801882028,0.5620160247288308,3.1659948932409404e-07
856_sim,0.10052627511647394,-8.546874741377692,-5.066196535879091,1.5204312536997268e-06,0.007358250353543509,0.37871180300799223,0.29053879029859103,2.1056476457868984e-06
857_sim,0.09541451908828634,-9.852166743314411,-5.503638401822912,5.967522079829001e-07,0.0044052746342994765,1.026864784304737,0.5721680046697804,3.1528829023487335e-07
858_sim,0.08983863588348939,-9.94385287406689,-5.070379204816798,3.085317032844729e-07,0.007891094410689165,0.19361079945240303,0.08851034389191358,2.7292764551839086e-07
859_sim,0.10659256365867747,-9.819640345398506,-4.845791855510594,8.618998717376626e-07,0.004400278959196635,0.27014920287889,0.1303669114888004,3.1525022822341685e-07
860_sim,0.13715947767030195,-8.124213196198399,-3.9810535739369723,2.2346654362411955e-06,0.009398681176036467,1.8659643142943905,0.991435846321531,4.026873813780254e-06
861_sim,0.10871276314184765,-9.007063809084038,-6.157084283029485,1.5368309527086048e-06,0.030742152518448803,2.0413972104332547,1.3979668160100154,1.6697062346605343e-06
862_sim,0.10727849313422656,-9.671652132284864,-4.916325092653401,8.601917902731626e-07,0.004170777691789215,0.2707340470125249,0.1356152789265398,3.0031436981885e-07
863_sim,0.11084650256058054,-8.635207342584422,-5.025771245852102,2.339157443709038e-06,0.004121955429633825,0.49522693559574105,0.3685884419062312,2.866958443060171e-06
864_sim,0.11446537608146064,-9.972822489834803,-4.315532486326017,-6.735005175240799e-09,0.0002792518409203403,1.2815534100656443,0.5535688858038545,3.0534521661354686e-07
865_sim,0.08674118707949098,-9.812295261923683,-5.051596708456982,-6.59068460940612e-07,0.008686008617440288,0.45986379339773475,0.2280456635664957,5.175362833198054e-07
866_sim,0.09939775564692643,-9.812421434032775,-5.450481733848531,-1.2976337608330329e-08,0.009961863291726497,1.020077210331873,0.565461291878223,2.756268405700165e-07
867_sim,0.11779522752351769,-8.270189115986385,-4.707974804571848,3.692647190460068e-06,0.00862945794439342,0.9375679957976837,0.644358331929329,3.7687722060183078e-06
868_sim,0.09369926596930075,-9.285072253276315,-4.756551769834157,9.293234411679442e-07,0.010502380081332306,0.5534802757675407,0.2804716270382633,6.053692617783392e-07
869_sim,0.09481006150103384,-9.871789291815146,-5.280058829916749,1.4524788439525094e-07,0.001671966688551195,0.7564058357354032,0.4025918682004618,2.650932923638212e-07
870_sim,0.09216807447507862,-9.974517033785945,-5.453568756234759,1.9288495075079786e-08,0.0023579472123185716,1.103472728380787,0.5998451326963364,2.814206426048893e-07
871_sim,0.09012937141016285,-9.666016534287474,-4.676200515367586,6.614289142420848e-07,0.014333111465647362,0.721522616578389,0.3473260890871079,2.864305446838574e-07
872_sim,0.11419583004148433,-9.845559585764898,-4.586418639596214,2.437540983354485e-07,0.005797896478903202,0.7526781700984146,0.34885276831730055,3.524905851944134e-07
873_sim,0.13512655385292416,-8.720479115667548,-4.50939937254016,1.9757848410099024e-06,0.0174861595962605,1.07074639156843,0.5865394622673641,2.514506289297434e-06
874_sim,0.11850025870085115,-9.932940006086913,-4.810168026633397,1.6317032205411919e-07,0.017967744217475465,0.37467801207072565,0.17265562056376624,4.326496815389486e-07
875_sim,0.08384092971631639,-9.765204532470959,-5.869453645091482,9.04947542620942e-07,0.0028303517445740366,1.5161427733200434,0.9080338712343705,4.0099162934553346e-07
876_sim,0.10083378828260035,-9.785374596034304,-4.542608990050631,4.312960648539908e-07,0.00821144611479357,0.9229107931544686,0.42627239461823563,2.808849606844042e-07
877_sim,0.11007220054412116,-9.004545216265551,-5.101782607072462,2.0562620260461813e-06,0.00686074082034781,0.32185168509490164,0.19810121984656365,1.5813664620828808e-06
878_sim,0.09806130405235945,-10.02773994035022,-4.891505357512972,2.850396670181559e-07,0.0028124964347729306,0.19376309901330893,0.08196215601740378,3.672346992100991e-07
879_sim,0.09804464297521003,-9.719564882561853,-4.6693116371490015,4.888262436587154e-07,0.008606127849502898,0.6003360387584435,0.2861661756485289,3.8305476128604397e-07
880_sim,0.08914658334099222,-9.664705659031032,-5.597641357991591,-2.5667535231122867e-07,0.0007815068694635788,1.3782513890140484,0.7938885050309769,8.191701094787503e-07
